SAMPLE_ID,Cisplatin_1005,Docetaxel_1007,Paclitaxel_1080,Gemcitabine_1190,Tamoxifen_1199,Lapatinib_1558,Vinblastine_1004,OSI-027_1594,Daporinad_1248,Venetoclax_1909,ABT737_1910,AZD5991_1720,Fulvestrant_1816
MB-0368,-0.2801988,-7.3603163,-4.398026,-7.174299,2.764326,2.242056,-12.303604,-3.405843,-8.8264265,-1.5774724,-4.6756206,-3.4533014,2.8166604
MB-0389,0.76017034,-7.8144035,-4.5244155,-7.4755497,2.8526258,4.246775,-12.71183,-5.9280953,-7.0753794,-1.8893929,-4.084802,-4.228391,4.021538
MB-0248,0.93047005,-6.182842,-1.9217117,-7.2720327,4.1126723,4.105622,-10.335796,-7.527729,-8.578622,-0.949733,-5.2642717,-0.44270945,4.4476786
MB-0035,0.37846565,-9.920237,-7.495675,-11.904212,4.636049,3.7055144,-15.214131,-6.5556884,-11.724555,-0.41990328,-5.039075,-3.5051255,2.919016
MB-0667,1.3834759,-5.98205,-3.2865057,-6.568867,4.048669,2.9356937,-11.588905,-10.036194,-6.681943,-0.84940135,-3.2403188,-4.48975,4.2424936
MB-0423,-0.24830568,-8.135709,-5.2143903,-9.538983,2.99995,4.2927537,-14.046308,-6.931647,-8.058769,-3.2854092,-5.5714784,-6.30301,3.5643167
MB-0904,0.37400472,-7.752416,-3.257773,-8.266074,3.6747572,5.5395317,-12.108882,-2.3581085,-8.74664,-2.6660156,-7.9320774,-4.990201,3.9037385
MB-0119,0.7792023,-6.8459635,-4.129172,-6.1635704,2.9260917,1.5719559,-12.582997,-4.711569,-6.295194,-1.4508593,-3.7627354,-4.3315206,3.0495682
MB-0650,0.7280258,-5.9503884,-2.0659842,-7.704734,4.4286036,5.7187657,-10.690055,-1.3707776,-8.109046,-2.2022939,-5.7668467,-1.3634162,5.084831
MB-0204,1.7706692,-6.425067,-2.572798,-4.548905,3.8493125,5.746682,-10.715946,-2.3121295,-6.3092217,-2.4638505,-4.7341995,-3.5367134,5.018376
MB-0184,3.0362573,-5.1339645,-2.4847074,-3.1962366,5.6970444,3.4823627,-8.240068,-4.021356,-9.447826,1.1639595,-4.607006,-2.9698884,4.1433945
MB-0600,1.9149886,-6.0065536,-2.989052,-5.7594957,2.7525911,3.9426045,-11.782187,-8.268461,-6.7132354,-1.7795222,-3.5400667,-2.2438335,4.5990524
MB-0400,2.2179399,-5.443035,-1.0615425,-5.1078854,6.429534,7.1530867,-9.418383,2.9980173,-10.982541,-2.12076,-4.3027434,-1.821629,5.7955465
